"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
24,"HS-grad,","Never-married,","Sales,","Female,","32,","United-States,","<=50K"
45,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","England,","<=50K"
28,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","45,","United-States,","<=50K"
42,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
22,"Some-college,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
28,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,","<=50K"
60,"HS-grad,","Widowed,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
31,"HS-grad,","Separated,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
47,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","75,","United-States,",">50K"
40,"HS-grad,","Divorced,","?,","Male,","25,","United-States,","<=50K"
30,"HS-grad,","Married-AF-spouse,","Adm-clerical,","Male,","60,","United-States,","<=50K"
61,"Masters,","Married-civ-spouse,","Sales,","Male,","60,","United-States,",">50K"
71,"Bachelors,","Widowed,","Prof-specialty,","Female,","6,","United-States,","<=50K"
42,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
44,"12th,","Married-civ-spouse,","Craft-repair,","Male,","55,","United-States,","<=50K"
46,"Some-college,","Married-civ-spouse,","Sales,","Male,","60,","United-States,",">50K"
50,"Prof-school,","Never-married,","Exec-managerial,","Female,","52,","United-States,",">50K"
27,"Bachelors,","Never-married,","Prof-specialty,","Male,","9,","United-States,","<=50K"
40,"Assoc-voc,","Married-civ-spouse,","?,","Male,","15,","United-States,","<=50K"
21,"Some-college,","Never-married,","Adm-clerical,","Female,","40,","Mexico,","<=50K"
25,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","35,","United-States,","<=50K"
61,"5th-6th,","Divorced,","Transport-moving,","Male,","56,","United-States,","<=50K"
54,"Some-college,","Divorced,","Adm-clerical,","Male,","30,","United-States,","<=50K"
31,"Bachelors,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
53,"Some-college,","Married-civ-spouse,","Farming-fishing,","Male,","30,","United-States,","<=50K"
39,"Assoc-acdm,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
57,"Prof-school,","Married-civ-spouse,","Transport-moving,","Male,","50,","United-States,",">50K"
48,"Bachelors,","Divorced,","Sales,","Female,","44,","United-States,","<=50K"
30,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","56,","United-States,",">50K"
35,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","60,","United-States,","<=50K"
42,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
69,"10th,","Married-civ-spouse,","Exec-managerial,","Male,","20,","United-States,","<=50K"
29,"Some-college,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
40,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Male,","15,","United-States,","<=50K"
40,"Assoc-acdm,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
43,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
36,"HS-grad,","Divorced,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
41,"HS-grad,","Married-spouse-absent,","Prof-specialty,","Male,","40,","Japan,",">50K"
72,"HS-grad,","Widowed,","?,","Male,","30,","United-States,","<=50K"
20,"Some-college,","Never-married,","Transport-moving,","Male,","30,","United-States,","<=50K"
41,"Bachelors,","Widowed,","Adm-clerical,","Female,","40,","United-States,","<=50K"
34,"Some-college,","Divorced,","Exec-managerial,","Male,","50,","United-States,","<=50K"
48,"11th,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
27,"HS-grad,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
35,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
28,"HS-grad,","Never-married,","?,","Male,","40,","United-States,","<=50K"
27,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
20,"Some-college,","Never-married,","Sales,","Male,","40,","United-States,","<=50K"
18,"Some-college,","Never-married,","Sales,","Female,","15,","United-States,","<=50K"
32,"Bachelors,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
38,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
23,"Some-college,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
28,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,",">50K"
40,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","38,","United-States,",">50K"
35,"HS-grad,","Divorced,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
74,"Some-college,","Widowed,","Exec-managerial,","Male,","40,","United-States,","<=50K"
28,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
23,"Some-college,","Never-married,","Handlers-cleaners,","Male,","30,","United-States,","<=50K"
20,"Some-college,","Never-married,","Farming-fishing,","Male,","10,","United-States,","<=50K"
44,"HS-grad,","Divorced,","Machine-op-inspct,","Female,","56,","United-States,","<=50K"
46,"HS-grad,","Divorced,","Adm-clerical,","Female,","25,","United-States,","<=50K"
20,"Some-college,","Never-married,","?,","Male,","40,","United-States,","<=50K"
51,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
40,"Some-college,","Separated,","Adm-clerical,","Female,","40,","United-States,","<=50K"
48,"Prof-school,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,",">50K"
60,"9th,","Married-civ-spouse,","Farming-fishing,","Male,","84,","United-States,","<=50K"
48,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
46,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Female,","70,","United-States,","<=50K"
48,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
22,"HS-grad,","Never-married,","?,","Female,","35,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
45,"Some-college,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
18,"12th,","Never-married,","Sales,","Female,","35,","United-States,","<=50K"
39,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
65,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","65,","United-States,","<=50K"
22,"Some-college,","Divorced,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
20,"Some-college,","Never-married,","Other-service,","Female,","20,","United-States,","<=50K"
28,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
46,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
42,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","48,","United-States,",">50K"
61,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","40,","?,",">50K"
28,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
18,"Some-college,","Never-married,","Sales,","Female,","20,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
45,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","56,","United-States,",">50K"
24,"HS-grad,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
44,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
20,"Some-college,","Never-married,","Other-service,","Male,","30,","United-States,","<=50K"
35,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","55,","Poland,","<=50K"
52,"Bachelors,","Married-civ-spouse,","Sales,","Male,","60,","United-States,","<=50K"
25,"Assoc-acdm,","Never-married,","Farming-fishing,","Male,","45,","United-States,","<=50K"
19,"5th-6th,","Never-married,","Farming-fishing,","Male,","36,","Mexico,","<=50K"
35,"Bachelors,","Married-civ-spouse,","?,","Male,","20,","United-States,","<=50K"
54,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
21,"Some-college,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
26,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Female,","40,","United-States,",">50K"
42,"Assoc-voc,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
19,"Some-college,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
55,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
44,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
25,"Bachelors,","Never-married,","Exec-managerial,","Male,","55,","United-States,","<=50K"
26,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
64,"Assoc-acdm,","Separated,","Prof-specialty,","Female,","40,","United-States,",">50K"
41,"11th,","Divorced,","Other-service,","Female,","40,","United-States,","<=50K"
25,"Some-college,","Never-married,","?,","Male,","40,","?,","<=50K"
43,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
45,"HS-grad,","Never-married,","Craft-repair,","Male,","48,","United-States,",">50K"
48,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","44,","United-States,",">50K"
60,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
45,"Some-college,","Never-married,","Farming-fishing,","Male,","50,","United-States,","<=50K"
51,"10th,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
37,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
22,"Some-college,","Never-married,","Adm-clerical,","Male,","30,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","65,","United-States,",">50K"
27,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,","<=50K"
47,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
32,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
40,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
41,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
32,"10th,","Divorced,","?,","Female,","40,","United-States,","<=50K"
26,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,","<=50K"
47,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,","<=50K"
55,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,","<=50K"
38,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
24,"Bachelors,","Never-married,","Prof-specialty,","Male,","15,","United-States,","<=50K"
64,"Doctorate,","Married-civ-spouse,","Exec-managerial,","Male,","25,","United-States,",">50K"
56,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
41,"HS-grad,","Married-civ-spouse,","Sales,","Male,","49,","United-States,",">50K"
33,"HS-grad,","Married-civ-spouse,","Sales,","Male,","45,","United-States,",">50K"
33,"Prof-school,","Never-married,","Prof-specialty,","Male,","42,","United-States,",">50K"
21,"Some-college,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Widowed,","Craft-repair,","Male,","40,","United-States,","<=50K"
58,"Assoc-voc,","Married-civ-spouse,","Exec-managerial,","Male,","40,","Germany,",">50K"
43,"Masters,","Divorced,","Prof-specialty,","Male,","40,","United-States,","<=50K"
21,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
45,"HS-grad,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
53,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Female,","50,","United-States,",">50K"
41,"Prof-school,","Married-civ-spouse,","Adm-clerical,","Male,","50,","?,",">50K"
27,"10th,","Married-civ-spouse,","Exec-managerial,","Female,","40,","Mexico,","<=50K"
53,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","50,","?,",">50K"
38,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","35,","United-States,",">50K"
31,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","70,","United-States,",">50K"
41,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","35,","United-States,","<=50K"
22,"Some-college,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
43,"Masters,","Married-civ-spouse,","Sales,","Male,","60,","United-States,","<=50K"
41,"Some-college,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
27,"Some-college,","Married-civ-spouse,","Handlers-cleaners,","Female,","35,","United-States,","<=50K"
41,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,","<=50K"
36,"Prof-school,","Divorced,","Prof-specialty,","Male,","45,","United-States,",">50K"
49,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Female,","40,","United-States,",">50K"
20,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","45,","United-States,","<=50K"
58,"HS-grad,","Married-spouse-absent,","Other-service,","Female,","45,","United-States,","<=50K"
35,"12th,","Never-married,","Other-service,","Female,","40,","Trinadad&Tobago,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Protective-serv,","Male,","40,","United-States,",">50K"
21,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
29,"Assoc-acdm,","Never-married,","Machine-op-inspct,","Male,","45,","United-States,","<=50K"
40,"HS-grad,","Widowed,","Sales,","Female,","40,","United-States,","<=50K"
54,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,",">50K"
35,"Bachelors,","Married-civ-spouse,","Sales,","Male,","60,","United-States,",">50K"
35,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
40,"Bachelors,","Married-spouse-absent,","Other-service,","Female,","40,","?,","<=50K"
59,"HS-grad,","Separated,","Sales,","Female,","40,","United-States,","<=50K"
43,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","50,","United-States,","<=50K"
39,"10th,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,",">50K"
51,"7th-8th,","Separated,","Machine-op-inspct,","Female,","30,","United-States,","<=50K"
71,"Some-college,","Never-married,","Other-service,","Female,","60,","United-States,","<=50K"
33,"12th,","Divorced,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
28,"HS-grad,","Divorced,","Other-service,","Male,","35,","United-States,","<=50K"
30,"HS-grad,","Married-spouse-absent,","Sales,","Male,","40,","United-States,","<=50K"
20,"5th-6th,","Married-spouse-absent,","Farming-fishing,","Male,","40,","Mexico,","<=50K"
51,"HS-grad,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
39,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Female,","40,","United-States,",">50K"
62,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
37,"HS-grad,","Never-married,","Exec-managerial,","Male,","60,","?,","<=50K"
28,"9th,","Never-married,","Machine-op-inspct,","Male,","50,","Dominican-Republic,","<=50K"
23,"HS-grad,","Never-married,","Sales,","Male,","48,","South,","<=50K"
39,"Bachelors,","Married-civ-spouse,","Sales,","Female,","30,","United-States,","<=50K"
50,"Bachelors,","Widowed,","Sales,","Male,","65,","United-States,",">50K"
31,"7th-8th,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
45,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
23,"Bachelors,","Never-married,","?,","Male,","40,","United-States,","<=50K"
47,"10th,","Widowed,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Widowed,","Prof-specialty,","Female,","18,","United-States,","<=50K"
32,"Assoc-acdm,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
82,"7th-8th,","Widowed,","?,","Male,","5,","United-States,","<=50K"
49,"Bachelors,","Married-civ-spouse,","Sales,","Male,","55,","United-States,",">50K"
74,"HS-grad,","Widowed,","Other-service,","Male,","17,","United-States,","<=50K"
22,"Some-college,","Never-married,","Adm-clerical,","Male,","35,","United-States,","<=50K"
32,"Some-college,","Married-civ-spouse,","Craft-repair,","Male,","55,","Greece,","<=50K"
34,"Bachelors,","Married-civ-spouse,","Farming-fishing,","Male,","50,","United-States,",">50K"
59,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,",">50K"
36,"Bachelors,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
59,"11th,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
47,"Bachelors,","Divorced,","Exec-managerial,","Male,","70,","United-States,",">50K"
53,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","45,","United-States,","<=50K"
25,"Some-college,","Never-married,","Craft-repair,","Male,","35,","United-States,","<=50K"
44,"Bachelors,","Divorced,","Adm-clerical,","Male,","65,","United-States,","<=50K"
57,"Prof-school,","Married-civ-spouse,","Sales,","Female,","35,","United-States,",">50K"
42,"Bachelors,","Married-civ-spouse,","Farming-fishing,","Male,","80,","United-States,",">50K"
58,"10th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
39,"Bachelors,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
32,"HS-grad,","Never-married,","?,","Male,","40,","United-States,","<=50K"
45,"7th-8th,","Divorced,","Machine-op-inspct,","Male,","48,","United-States,","<=50K"
47,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Female,","35,","United-States,",">50K"
52,"Some-college,","Married-civ-spouse,","?,","Male,","50,","United-States,","<=50K"
56,"1st-4th,","Separated,","Exec-managerial,","Male,","25,","?,","<=50K"
52,"HS-grad,","Divorced,","Machine-op-inspct,","Female,","40,","United-States,","<=50K"
34,"HS-grad,","Never-married,","Other-service,","Female,","35,","United-States,","<=50K"
36,"7th-8th,","Married-civ-spouse,","Craft-repair,","Male,","35,","United-States,","<=50K"
41,"HS-grad,","Married-spouse-absent,","Craft-repair,","Male,","40,","Poland,","<=50K"
30,"Some-college,","Never-married,","Prof-specialty,","Male,","40,","Mexico,","<=50K"
44,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","Puerto-Rico,","<=50K"
17,"Some-college,","Never-married,","?,","Female,","40,","Philippines,","<=50K"
34,"Some-college,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
41,"Some-college,","Separated,","Other-service,","Male,","40,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
25,"9th,","Never-married,","Machine-op-inspct,","Male,","48,","Mexico,","<=50K"
42,"Bachelors,","Separated,","Prof-specialty,","Male,","40,","United-States,","<=50K"
48,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
26,"Assoc-voc,","Never-married,","Sales,","Male,","55,","United-States,","<=50K"
64,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Female,","40,","?,",">50K"
46,"Bachelors,","Married-civ-spouse,","Sales,","Male,","45,","United-States,","<=50K"
38,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
49,"11th,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
23,"Some-college,","Never-married,","Sales,","Female,","20,","United-States,","<=50K"
46,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","United-States,",">50K"
30,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","55,","United-States,","<=50K"
49,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
47,"Assoc-voc,","Divorced,","?,","Male,","40,","United-States,","<=50K"
44,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","?,",">50K"
31,"HS-grad,","Divorced,","Craft-repair,","Male,","50,","United-States,","<=50K"
19,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","50,","United-States,","<=50K"
45,"Assoc-acdm,","Divorced,","Prof-specialty,","Female,","38,","United-States,","<=50K"
34,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","Peru,",">50K"
26,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
38,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,",">50K"
31,"Some-college,","Never-married,","Adm-clerical,","Female,","43,","United-States,","<=50K"
36,"Assoc-acdm,","Separated,","Exec-managerial,","Male,","50,","United-States,","<=50K"
31,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
30,"Bachelors,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,","<=50K"
37,"HS-grad,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
30,"Bachelors,","Never-married,","Prof-specialty,","Male,","50,","United-States,",">50K"
21,"HS-grad,","Married-civ-spouse,","?,","Female,","30,","United-States,","<=50K"
73,"10th,","Widowed,","Other-service,","Female,","10,","United-States,","<=50K"
38,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
30,"10th,","Never-married,","Craft-repair,","Male,","50,","United-States,","<=50K"
33,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","50,","United-States,",">50K"
52,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
58,"Some-college,","Divorced,","Adm-clerical,","Female,","46,","United-States,","<=50K"
34,"Masters,","Never-married,","Prof-specialty,","Female,","50,","United-States,","<=50K"
35,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
45,"Bachelors,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
27,"Some-college,","Never-married,","Transport-moving,","Male,","48,","United-States,","<=50K"
31,"Doctorate,","Never-married,","Prof-specialty,","Male,","50,","Mexico,",">50K"
45,"Some-college,","Never-married,","Farming-fishing,","Male,","50,","United-States,","<=50K"
40,"HS-grad,","Separated,","Other-service,","Female,","25,","United-States,","<=50K"
27,"Prof-school,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
19,"HS-grad,","Never-married,","Other-service,","Male,","20,","United-States,","<=50K"
29,"5th-6th,","Never-married,","Other-service,","Male,","25,","Mexico,","<=50K"
34,"Some-college,","Married-civ-spouse,","Farming-fishing,","Male,","72,","United-States,","<=50K"
32,"Assoc-acdm,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
49,"11th,","Married-civ-spouse,","Craft-repair,","Male,","40,","Cuba,","<=50K"
33,"11th,","Divorced,","Exec-managerial,","Female,","40,","United-States,",">50K"
74,"7th-8th,","Married-civ-spouse,","?,","Male,","2,","United-States,","<=50K"
62,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
39,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,","<=50K"
43,"HS-grad,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
22,"Some-college,","Never-married,","Tech-support,","Female,","60,","United-States,","<=50K"
24,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","45,","United-States,","<=50K"
76,"HS-grad,","Married-civ-spouse,","?,","Male,","40,","Canada,",">50K"
25,"Some-college,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
19,"Some-college,","Never-married,","Sales,","Female,","28,","United-States,","<=50K"
31,"Assoc-acdm,","Divorced,","Adm-clerical,","Female,","41,","United-States,","<=50K"
53,"11th,","Divorced,","Craft-repair,","Female,","40,","United-States,","<=50K"
61,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","3,","United-States,","<=50K"
47,"Bachelors,","Married-civ-spouse,","Other-service,","Male,","40,","El-Salvador,","<=50K"
37,"HS-grad,","Divorced,","Adm-clerical,","Female,","45,","United-States,","<=50K"
50,"Bachelors,","Divorced,","Exec-managerial,","Male,","30,","United-States,","<=50K"
27,"Some-college,","Never-married,","Sales,","Male,","44,","United-States,","<=50K"
58,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
43,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
39,"Assoc-acdm,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
36,"Some-college,","Never-married,","Sales,","Female,","35,","United-States,","<=50K"
56,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,","<=50K"
26,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","55,","United-States,","<=50K"
23,"Bachelors,","Never-married,","Prof-specialty,","Female,","38,","United-States,","<=50K"
47,"11th,","Never-married,","Transport-moving,","Male,","40,","United-States,","<=50K"
68,"12th,","Widowed,","Sales,","Female,","30,","United-States,","<=50K"
47,"Some-college,","Never-married,","Protective-serv,","Male,","40,","United-States,","<=50K"
45,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","40,","Guatemala,",">50K"
26,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,","<=50K"
